title,imdbid,releaseDate,t1,g1,a1,t2,g2,a2,t3,g3,a3,t4,g4,a4,t5,g5,a5,totalGross,weeks,maxT
Kill Dil,tt3380264,11/14/2014,87,172001,1977,37,22787,616,3,868,289,1,70,70,,,,246107,4,87
Daawat-e-Ishq,tt3398052,9/19/2014,113,204950,1814,77,82764,1075,11,5831,530,1,734,734,1,229,229,385415,5,113
Mardaani,tt3495000,8/22/2014,86,168997,1965,48,77252,1609,26,28232,1086,12,6560,547,1,59,59,393619,5,86
Bewakoofiyaan,tt3483646,3/14/2014,66,67738,1026,21,12589,599,2,477,239,1,20,20,,,,106800,4,66
Gunday,tt2574698,2/14/2014,150,548350,3656,118,122188,1035,23,13067,568,,,,,,,887675,3,150
Dhoom 3,tt1833673,12/20/2013,239,3422590,14320,220,1068303,4856,138,310734,2252,41,98120,2393,18,39100,2172,8090250,7,239
Shuddh Desi Romance,tt2988272,9/6/2013,116,345624,2980,-1,-1,-1,-1,-1,-1,,,,,,,641000,3,116
Aurangzeb,tt2804026,5/17/2013,62,91000,1468,-1,-1,-1,5,732,146,3,557,186,1,140,140,149000,5,62
Jab Tak Hai Jaan,tt2176013,11/13/2012,161,1283585,7973,164,536918,3274,-1,-1,-1,-1,-1,-1,-1,-1,-1,3047539,8,164
Ek Tha Tiger,tt2016894,8/15/2012,120,1139340,9495,119,434516,3651,71,152158,2143,52,52662,1012,19,13497,710,2347774,6,120
Ladies vs. Ricky Bahl,tt1954598,12/9/2011,80,222019,2775,,,,,,,,,,,,,222019,1,80
Mere Brother Ki Dulhan,tt1740710,9/9/2011,74,403171,5446,,,,,,,,,,,,,496172,1,74
Band Baaja Baaraat,tt1610452,12/10/2010,32,43820,1369,26,27554,1060,,,,,,,,,,71374,2,32
Badmaash Company,tt1602476,5/7/2010,-1,-1,-1,,,,,,,,,,,,,-1,-1,-1
Pyaar Impossible,tt1351224,1/8/2010,-1,-1,-1,,,,,,,,,,,,,-1,-1,-1
Rocket Singh,tt1434447,12/11/2009,70,164649,2352,,,,,,,,,,,,,164649,1,70
Dil Bole Hadippa!,tt1202540,9/18/2009,54,351457,6508,,,,,,,,,,,,,644046,1,54
New York,tt1328634,6/26/2009,60,467694,7795,49,148470,3030,42,75405,1795,33,41682,1263,,,,997437,4,60
Rab Ne Bana Di Jodi,tt1182937,12/12/2008,83,920995,11096,82,326641,3983,54,156871,2905,45,72537,1612,25,20058,802,2078956,5,83
Roadside Romeo,tt1050739,10/24/2008,29,41770,1440,14,5689,406,,,,,,,,,,55202,2,29
Bachna Ae Haseeno,tt1182972,8/15/2008,71,322431,4541,67,125081,1867,35,66004,1886,,,,,,,702166,3,71
Thoda Pyaar Thoda Magic,tt1191138,6/27/2008,68,181610,2671,56,79524,1420,,,,,,,,,,365401,2,68
Tashan,tt0995752,4/25/2008,75,301226,4016,62,58190,939,19,14884,783,,,,,,,457380,3,75
Aaja Nachle,tt0986213,11/30/2007,66,257500,3901,62,114595,1848,30,30005,1000,,,,,,,484108,3,66
Laaga Chunari Mein Daag,tt0985636,10/12/2007,60,320987,5349,52,141674,2724,32,49953,1561,18,13700,761,,,,675102,4,60
Chak De India,tt0871510,8/10/2007,62,351887,5675,56,246984,4410,48,121562,2532,40,72105,1802,24,33446,1393,1120404,6,62
Jhoom Barabar Jhoom,tt0833476,6/15/2007,83,455257,5485,56,136638,2439,,,,,,,,,,695157,2,83
Ta Ra Rum Pum,tt0833553,4/27/2007,85,425102,5001,85,164722,1937,44,65337,1484,32,44841,1401,10,21935,2194,872643,5,85
Kabul Express,tt0770214,12/15/2006,50,142591,2851,27,33801,1251,20,18505,925,7,5652,807,,,,302458,4,50
Dhoom 2,tt0441048,11/24/2006,63,979001,15539,63,510524,8103,51,163498,3205,40,109763,2744,16,24255,1515,2643586,7,63
Fanaa,tt0439662,5/26/2006,72,753067,10459,72,400158,5557,50,204458,4089,40,111746,2793,25,40833,1633,2105352,9,72
Neal 'n' Nikki,tt0470869,12/9/2005,44,75005,1704,30,15249,508,,,,,,,,,,111551,2,44
Salaam Namaste,tt0456165,9/9/2005,63,504898,8014,63,273932,4348,60,161212,2686,28,71397,2549,30,50500,1683,1413283,8,63
Bunty Aur Babli,tt0448206,5/27/2005,51,435767,8544,51,170553,3344,45,91127,2025,36,61721,1714,14,17121,1222,942756,5,51
